Week_Ended,B_total,E_total,F_total,D_total
2024-05-17,2586902.902056066,290825.6012901295,3432.213733679097,9355639.564831613
2024-05-24,2594625.3536453047,291728.7216688477,3436.915657261856,9381945.50871141
2024-05-31,2602372.6461103144,292634.125696643,3441.6247109291553,9408327.043287914
2024-06-07,2610144.784470151,293541.82975589123,3446.3412533864243,9434784.41481474
2024-06-14,2617941.7752629737,294451.8492874498,3451.0656069265706,9461317.850110214
2024-06-21,2625763.6272388636,295364.1992181628,3455.7980647260265,9487927.558338165
2024-06-28,2633610.3516709716,296278.894531122,3460.5389088881107,9514613.741772987
2024-07-05,2641481.962169742,297195.9505867965,3465.288429365948,9541376.610081293
2024-07-12,2649378.4741970077,298115.3829909623,3470.0469294285563,9568216.389278632
2024-07-19,2657299.9045588486,299037.20719955233,3474.8147151072844,9595133.318686772
2024-07-26,2665246.271145657,299961.4381862867,3479.5920804122693,9622127.639785888
2024-08-02,2673217.5930441,300888.0903376207,3484.379298981231,9649199.586754875
2024-08-09,2681213.8908726852,301817.1775812032,3489.17662412612,9676349.383817438
2024-08-16,2689235.187047621,302748.7136646233,3493.984295777908,9703577.248630809
2024-08-23,2697281.505804608,303682.71240726084,3498.802550889429,9730883.399183718
2024-08-30,2705352.8730026945,304619.1877542681,3503.6316303770295,9758268.060327932
2024-09-06,2713449.315839192,305558.1536302834,3508.4717776984476,9785731.465452394
2024-09-13,2721570.8626251537,306499.62374006293,3513.3232318206155,9813273.852483967
2024-09-20,2729717.542733292,307443.6114500796,3518.18622093666,9840895.458164096
2024-09-27,2737889.3867132477,308390.12979563285,3523.0609602540644,9868596.514742373
2024-10-04,2746086.4264493305,309339.19159437635,3527.9476539174466,9896377.250174327
2024-10-11,2754308.6952303424,310290.8095959352,3532.8464998569143,9924237.890931886
2024-10-18,2762556.2276922422,311244.9965689079,3537.7576947126936,9952178.665742788
2024-10-25,2770829.059676778,312201.7652759976,3542.6814354247726,9980199.807903342
2024-11-01,2779127.228081647,313161.12837923155,3547.6179168932795,10008301.554622548
2024-11-08,2787450.7707749675,314123.0983538141,3552.5673283389815,10036484.144304706
2024-11-15,2795799.7266049837,315087.6874586184,3557.5298510273537,10064747.814061303
2024-11-22,2804174.13546858,316054.90777030017,3562.5056582196244,10093092.798863307
2024-11-29,2812574.038366874,317024.77125753864,3567.4949170674927,10121519.332360083
2024-12-06,2820999.477401272,317997.28984836524,3572.4977913815273,10150027.648688804
2024-12-13,2829450.4957116493,318972.47544852714,3577.514443499473,10178617.984170001
2024-12-20,2837927.13738905,319950.33990912174,3582.5450341055334,10207290.577774592
2024-12-27,2846429.447403633,320930.89497764036,3587.5897205995416,10236045.6701785
2025-01-03,2854957.4715771573,321914.15226716554,3592.648655506935,10264883.502318777
2025-01-10,2863511.256598717,322900.1232584944,3597.721985875808,10293804.314478695
2025-01-17,2872090.8500533197,323888.8193310215,3602.809853811106,10322808.346279439
2025-01-24,2880696.30043035,324880.2518031504,3607.9123977993613,10351895.837402582
2025-01-31,2889327.657099774,325874.43195714,3613.0297540391434,10381067.02856615
2025-02-07,2897984.9702655347,326871.3710360246,3618.1620569430042,10410322.16213226
2025-02-14,2906668.290916111,327871.0802219031,3623.3094386587404,10439661.481973777
2025-02-21,2915377.670791726,328873.570614795,3628.472028207501,10469085.23280918
2025-02-28,2924113.162376193,329878.8532255293,3633.6499509107475,10498593.659552263
2025-03-07,2932874.8189045456,330886.93898560427,3638.8433283969935,10528187.00705953
2025-03-14,2941662.694368706,331897.8387677601,3644.0522791402223,10557865.520326493
2025-03-21,2950476.8435087595,332911.5634049439,3649.2769192260107,10587629.44495859
2025-03-28,2959317.321789175,333928.1236970937,3654.517362889504,10617479.027614614
2025-04-04,2968184.185368038,334947.5304049398,3659.7737225450064,10647414.516140755
2025-04-11,2977077.4910701695,335969.7942388479,3665.0461084367234,10677436.159348514
2025-04-18,2985997.2963718344,336994.9258517049,3670.334628266811,10707544.206650928
2025-04-25,2994943.659396854,338022.9358403109,3675.639387062132,10737738.907814922
2025-05-02,3003916.638916653,339053.8347544373,3680.960487345418,10768020.512946589
2025-05-09,3012916.294345863,340087.63310845447,3686.2980295182088,10798389.272676086
2025-05-16,3021942.6857298906,341124.3413891104,3691.6521122456056,10828845.438413007
2025-05-23,3030995.8737265044,342163.97005626967,3697.022832634412,10859389.26250901
2025-05-30,3040075.9195866464,343206.5295386698,3702.410286162918,10890020.998234343
2025-06-06,3049182.885139608,344252.0302294339,3707.8145665002494,10920740.899615955
2025-06-13,3058316.832784718,345300.48248502845,3713.2357653857293,10951549.2212696
2025-06-20,3067477.825487395,346351.89662867016,3718.6739726569244,10982446.218328634
2025-06-27,3076665.9267751398,347406.28295658017,3724.129276419834,11013432.146491867
2025-07-04,3085881.2007301557,348463.65174388455,3729.6017632793096,11044507.262146644
2025-07-11,3095123.7119781817,349524.0132474653,3735.0915185122735,11075671.82248653
2025-07-18,3104393.5256755427,350587.37770545285,3740.5986261132093,11106926.08555137
2025-07-25,3113690.7074972563,351653.75533526874,3746.123168739733,11138270.310176771
2025-08-01,3123015.3236282524,352723.1563325458,3751.665227644363,11169704.75590381
2025-08-08,3132367.440757686,353795.59087221086,3757.2248826634614,11201229.682914171
2025-08-15,3141747.1260745306,354871.0691115817,3762.8022122858292,11232845.35202478
2025-08-22,3151154.4472622843,355949.60119415633,3768.3972937773883,11264552.024736155
2025-08-29,3160589.4724917696,357031.1972524449,3774.0102033067215,11296349.963300467
2025-09-05,3170052.270412461,358115.867409006,3779.641016018635,11328239.430766724
2025-09-12,3179542.910143673,359203.62177614134,3785.289806043914,11360220.69097902
2025-09-19,3189061.4612669665,360294.47045542416,3790.95664647739,11392294.008538544
2025-09-26,3198607.993820353,361388.4235380577,3796.641609367799,11424459.64876182
2025-10-03,3208182.578293764,362485.49110637966,3802.3447657449597,11456717.877662443
2025-10-10,3217785.2856247,363585.6832361107,3808.0661856842253,11489068.961964076
